image_name,rotation_angle,ssim
raw_916_1.jpg,2.525382042,0.55983275
raw_155_1.jpg,4.285159111,0.834120566
raw_584_1.jpg,2.308817148,0.905889436
raw_953_1.jpg,-3.723258495,0.698123773
raw_110_1.jpg,-2.798386812,0.825763083
raw_678_1.jpg,1.728380084,0.90626801
raw_685_1.jpg,0.848394334,0.833368396
raw_254_1.jpg,2.434467554,0.768932446
raw_211_1.jpg,0.400190949,0.791683332
raw_579_1.jpg,-1.518634081,0.791022166
raw_349_1.jpg,0.727231324,0.681406186
raw_798_1.jpg,1.369623661,0.957359815
raw_62_1.jpg,-2.779949427,0.905148401
raw_421_1.jpg,1.951613426,0.705239281
raw_27_1.jpg,0.599663019,0.858355831
raw_464_1.jpg,0.528768241,0.666234139
raw_499_1.jpg,1.095616102,0.978165236
raw_720_1.jpg,0.956413209,0.832736776
raw_765_1.jpg,-0.655984223,0.883093933
raw_873_1.jpg,0.54159385,0.617695539
raw_836_1.jpg,2.687800169,0.787255197
raw_389_1.jpg,1.451718211,0.844772176
raw_758_1.jpg,1.473207235,0.850405771
raw_331_1.jpg,-2.611540556,0.679716676
raw_374_1.jpg,0.574060261,0.652299066
raw_459_1.jpg,3.280029058,0.553825503
raw_269_1.jpg,1.753553271,0.725406483
raw_195_1.jpg,-2.987172842,0.753422071
raw_544_1.jpg,2.499603271,0.813535891
raw_993_1.jpg,-2.41856575,0.890692583
raw_501_1.jpg,-2.100892305,0.959523244
raw_168_1.jpg,1.916749716,0.843977206
raw_645_1.jpg,-1.003341198,0.792012646
raw_294_1.jpg,1.885624051,0.77774648
raw_600_1.jpg,-0.22524339,0.821541484
raw_8_1.jpg,-2.802498341,0.747023473
raw_438_1.jpg,3.060130358,0.507884867
raw_315_1.jpg,-1.093273997,0.848520654
raw_781_1.jpg,-2.097931862,0.801985773
raw_350_1.jpg,4.529904842,0.620631149
raw_739_1.jpg,0.610738695,0.893379411
raw_857_1.jpg,2.02550745,0.762349176
raw_86_1.jpg,-2.20732069,0.790761119
raw_812_1.jpg,-1.788956523,0.896695075
raw_480_1.jpg,0.253905296,0.614419538
raw_661_1.jpg,-0.066310637,0.838653613
raw_624_1.jpg,-0.055344634,0.851514021
raw_109_1.jpg,-2.384068727,0.79999282
raw_560_1.jpg,-2.874417305,0.705575762
raw_525_1.jpg,-0.242662728,0.805806742
raw_208_1.jpg,1.719094038,0.82755627
raw_518_1.jpg,2.501032591,0.652613733
raw_270_1.jpg,-1.467123032,0.841079722
raw_619_1.jpg,3.625582695,0.920365856
raw_932_1.jpg,3.273897886,0.611239545
raw_171_1.jpg,1.101281762,0.73335051
raw_977_1.jpg,3.766080141,0.569939069
raw_134_1.jpg,0.75537473,0.846854718
raw_704_1.jpg,-0.183788836,0.916585108
raw_741_1.jpg,-0.46339649,0.810502854
raw_390_1.jpg,0.366780162,0.707500974
raw_897_1.jpg,2.74913764,0.835298784
raw_46_1.jpg,-2.460001945,0.852892783
raw_405_1.jpg,4.154270649,0.600820005
raw_440_1.jpg,0.330503434,0.588308186
raw_328_1.jpg,-2.630810499,0.659504178
raw_930_1.jpg,-4.048780918,0.794744728
raw_173_1.jpg,-0.267963678,0.849534019
raw_975_1.jpg,-1.406250715,0.70808756
raw_136_1.jpg,1.524275184,0.776838387
raw_272_1.jpg,-3.219027281,0.759011351
raw_988_1.jpg,-4.521458626,0.903886108
raw_895_1.jpg,1.818723321,0.658733361
raw_44_1.jpg,0.51857096,0.882938391
raw_407_1.jpg,4.444543362,0.704698269
raw_442_1.jpg,2.765016079,0.531057142
raw_868_1.jpg,4.596824169,0.598936803
raw_706_1.jpg,-3.791614294,0.815712874
raw_743_1.jpg,0.6760028,0.870097866
raw_392_1.jpg,3.842485666,0.693852356
raw_855_1.jpg,2.952595472,0.802136054
raw_84_1.jpg,-1.836372852,0.816700895
raw_810_1.jpg,0.440452933,0.865877661
raw_482_1.jpg,-3.172640562,0.759397704
raw_317_1.jpg,0.115643598,0.677519723
raw_783_1.jpg,3.113213539,0.825395354
raw_352_1.jpg,3.079731464,0.705580139
raw_79_1.jpg,1.825493336,0.936743069
raw_562_1.jpg,-1.090437293,0.932003763
raw_527_1.jpg,-0.079076134,0.672816799
